File Name,Case Type,Court,Year,Topic,Summary,Local Path
civil_general_pakistan_unknown_LandAcquisition-Others.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_LandAcquisition-Others.pdf
civil_general_pakistan_unknown_CPLA14-P-2015.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CPLA14-P-2015.pdf
civil_contract_pakistan_20_Suitforrecovery-Others_1.pdf,civil,Supreme Court,20,contract,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice yahya afridi
mr. justice syed hasan azhar rizvi
mr. justice irfan saadat khan
civil appeal no.296/2015
against the judgme",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_contract_pakistan_20_Suitforrecovery-Others_1.pdf
civil_contract_pakistan_20_CA296-2015.pdf,civil,Supreme Court,20,contract,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice yahya afridi
mr. justice syed hasan azhar rizvi
mr. justice irfan saadat khan
civil appeal no.296/2015
against the judgme",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_contract_pakistan_20_CA296-2015.pdf
civil_general_pakistan_unknown_Family-ReturnofDoweryArticles.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Family-ReturnofDoweryArticles.pdf
civil_general_pakistan_unknown_CPLA263-K-2024.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CPLA263-K-2024.pdf
civil_election_pakistan_20_Election-NationalAssembly-ReservedSeats_11.pdf,civil,Supreme Court,20,election,"order
jamal khan mandokhail, j. for reasons to be recorded later, we
dispose of these appeals, petitions and miscellaneous applications
through a short order as under:
1. these matters involve a contr",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_election_pakistan_20_Election-NationalAssembly-ReservedSeats_11.pdf
civil_election_pakistan_20_CA333-2024_9.pdf,civil,Supreme Court,20,election,"order
jamal khan mandokhail, j. for reasons to be recorded later, we
dispose of these appeals, petitions and miscellaneous applications
through a short order as under:
1. these matters involve a contr",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_election_pakistan_20_CA333-2024_9.pdf
civil_election_pakistan_20_Election-NationalAssembly-ReservedSeats_12.pdf,civil,Supreme Court,20,election,"in the supreme court of pakistan
(appellate jurisdiction)
present:
justice qazi faez isa, cj
justice syed mansoor ali shah
justice munib akhtar
justice yahya afridi
justice amin-ud-din khan
justice ja",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_election_pakistan_20_Election-NationalAssembly-ReservedSeats_12.pdf
civil_election_pakistan_20_CA333-2024_10.pdf,civil,Supreme Court,20,election,"in the supreme court of pakistan
(appellate jurisdiction)
present:
justice qazi faez isa, cj
justice syed mansoor ali shah
justice munib akhtar
justice yahya afridi
justice amin-ud-din khan
justice ja",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_election_pakistan_20_CA333-2024_10.pdf
civil_general_pakistan_unknown_AgainstInterimOrder-.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_AgainstInterimOrder-.pdf
civil_general_pakistan_unknown_CPLA2849-L-2015.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CPLA2849-L-2015.pdf
civil_general_pakistan_unknown_Pre-emptionCases-.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Pre-emptionCases-.pdf
civil_general_pakistan_unknown_CA1429-2014.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CA1429-2014.pdf
civil_general_pakistan_unknown_SuitforDeclaration-Others.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_SuitforDeclaration-Others.pdf
civil_general_pakistan_unknown_CA1229-2018.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CA1229-2018.pdf
bail_appeal_pakistan_20_AgainstAcquittal-Sessions.pdf,bail,Supreme Court,20,appeal,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice muhammad ali mazhar
mrs. justice ayesha a. malik
mr. justice irfan saadat khan
criminal petition no.412-l/2014
against th",c:\hafsa_thesis material\supreme_court_scraper\pdfs\bail\bail_appeal_pakistan_20_AgainstAcquittal-Sessions.pdf
bail_appeal_pakistan_20_CrlPLA412-L-2014.pdf,bail,Supreme Court,20,appeal,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice muhammad ali mazhar
mrs. justice ayesha a. malik
mr. justice irfan saadat khan
criminal petition no.412-l/2014
against th",c:\hafsa_thesis material\supreme_court_scraper\pdfs\bail\bail_appeal_pakistan_20_CrlPLA412-L-2014.pdf
civil_election_pakistan_20_Election-NationalAssembly-RejectionofNominationPapers.pdf,civil,Supreme Court,20,election,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice munib akhtar
mr. justice shahid waheed
mr. justice irfan saadat khan
civil petition no.183 of 2024
(against judgment date",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_election_pakistan_20_Election-NationalAssembly-RejectionofNominationPapers.pdf
civil_election_pakistan_20_CPLA183-2024.pdf,civil,Supreme Court,20,election,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice munib akhtar
mr. justice shahid waheed
mr. justice irfan saadat khan
civil petition no.183 of 2024
(against judgment date",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_election_pakistan_20_CPLA183-2024.pdf
